"qsFreqValue","qsFreqCounts","qsFreqColumnID","qsFreqHeaderFlag"
"_qsC_PHONE_STD","0000000000 0000000000 0000000000 0000000011 0000000000 0000000000 0000000018 ","1","0"
"2221112233","0000000002 0000000000 0000000000 ","1","1"
"2223334455","0000000001 0000000000 0000000000 ","1","1"
"3398765432","0000000002 0000000000 0000000000 ","1","1"
"4421234567","0000000001 0000000000 0000000000 ","1","1"
"4775556677","0000000002 0000000000 0000000000 ","1","1"
"5512345678","0000000002 0000000000 0000000000 ","1","1"
"5588990011","0000000002 0000000000 0000000000 ","1","1"
"6647778899","0000000001 0000000000 0000000000 ","1","1"
"8122334455","0000000002 0000000000 0000000000 ","1","1"
"9992223344","0000000001 0000000000 0000000000 ","1","1"
"NULL","0000000002 0000000000 0000000000 ","1","1"
"_qsN_PHONE_STD","0000000000 0000000000 0000000000 0000000011 0000000000 0000000000 0000000018 ","2","0"
"0.0e+000","0000000002 0000000000 0000000000 ","2","1"
"2221112233","0000000002 0000000000 0000000000 ","2","1"
"2223334455","0000000001 0000000000 0000000000 ","2","1"
"3398765432","0000000002 0000000000 0000000000 ","2","1"
"4421234567","0000000001 0000000000 0000000000 ","2","1"
"4775556677","0000000002 0000000000 0000000000 ","2","1"
"5512345678","0000000002 0000000000 0000000000 ","2","1"
"5588990011","0000000002 0000000000 0000000000 ","2","1"
"6647778899","0000000001 0000000000 0000000000 ","2","1"
"8122334455","0000000002 0000000000 0000000000 ","2","1"
"9992223344","0000000001 0000000000 0000000000 ","2","1"
"_qsM_PHONE_STD","0000000000 0000000000 0000000000 0000000011 0000000000 0000000000 0000000018 ","4","0"
"2221112233","0000000002 0000000000 0000000000 ","4","1"
"2223334455","0000000001 0000000000 0000000000 ","4","1"
"3398765432","0000000002 0000000000 0000000000 ","4","1"
"4421234567","0000000001 0000000000 0000000000 ","4","1"
"4775556677","0000000002 0000000000 0000000000 ","4","1"
"5512345678","0000000002 0000000000 0000000000 ","4","1"
"5588990011","0000000002 0000000000 0000000000 ","4","1"
"6647778899","0000000001 0000000000 0000000000 ","4","1"
"8122334455","0000000002 0000000000 0000000000 ","4","1"
"9992223344","0000000001 0000000000 0000000000 ","4","1"
"NULL","0000000002 0000000000 0000000000 ","4","1"
"_qsC_ZIP_STD","0000000000 0000000000 0000000000 0000000012 0000000000 0000000000 0000000018 ","5","0"
"03100","0000000002 0000000000 0000000000 ","5","1"
"06140","0000000001 0000000000 0000000000 ","5","1"
"06700","0000000002 0000000000 0000000000 ","5","1"
"22000","0000000001 0000000000 0000000000 ","5","1"
"37000","0000000002 0000000000 0000000000 ","5","1"
"44100","0000000002 0000000000 0000000000 ","5","1"
"50000","0000000001 0000000000 0000000000 ","5","1"
"64000","0000000002 0000000000 0000000000 ","5","1"
"72000","0000000002 0000000000 0000000000 ","5","1"
"72100","0000000001 0000000000 0000000000 ","5","1"
"76000","0000000001 0000000000 0000000000 ","5","1"
"97000","0000000001 0000000000 0000000000 ","5","1"
"_qsN_ZIP_STD","0000000000 0000000000 0000000000 0000000012 0000000000 0000000000 0000000018 ","6","0"
"22000","0000000001 0000000000 0000000000 ","6","1"
"3100","0000000002 0000000000 0000000000 ","6","1"
"37000","0000000002 0000000000 0000000000 ","6","1"
"44100","0000000002 0000000000 0000000000 ","6","1"
"50000","0000000001 0000000000 0000000000 ","6","1"
"6140","0000000001 0000000000 0000000000 ","6","1"
"64000","0000000002 0000000000 0000000000 ","6","1"
"6700","0000000002 0000000000 0000000000 ","6","1"
"72000","0000000002 0000000000 0000000000 ","6","1"
"72100","0000000001 0000000000 0000000000 ","6","1"
"76000","0000000001 0000000000 0000000000 ","6","1"
"97000","0000000001 0000000000 0000000000 ","6","1"
"_qsM_ZIP_STD","0000000000 0000000000 0000000000 0000000012 0000000000 0000000000 0000000018 ","8","0"
"03100","0000000002 0000000000 0000000000 ","8","1"
"06140","0000000001 0000000000 0000000000 ","8","1"
"06700","0000000002 0000000000 0000000000 ","8","1"
"22000","0000000001 0000000000 0000000000 ","8","1"
"37000","0000000002 0000000000 0000000000 ","8","1"
"44100","0000000002 0000000000 0000000000 ","8","1"
"50000","0000000001 0000000000 0000000000 ","8","1"
"64000","0000000002 0000000000 0000000000 ","8","1"
"72000","0000000002 0000000000 0000000000 ","8","1"
"72100","0000000001 0000000000 0000000000 ","8","1"
"76000","0000000001 0000000000 0000000000 ","8","1"
"97000","0000000001 0000000000 0000000000 ","8","1"
