"FULL_NAME","TipoNombre_MXNAME","CodigoGenero_MXNAME","PrefijoNombre_MXNAME","PrimerNombre_MXNAME","SegundoNombre_MXNAME","Apellido_MXNAME","SufijoNombre_MXNAME","Nombre_Adicional_MXNAME","MatchPrimerNombre_MXNAME","MatchPrimerNombreNYSIIS_MXNAME","MatchPrimerNombreRVSNDX_MXNAME","MatchApellido_MXNAME","MatchApellidoHashKey_MXNAME","MatchApellidoPackKey_MXNAME","NumofMatchApellido_MXNAME","MatchApellido1_MXNAME","MatchApellido2_MXNAME","MatchApellido3_MXNAME","MatchApellido4_MXNAME","MatchApellido5_MXNAME","MatchApellido1NYSIIS_MXNAME","MatchApellido1RVSNDX_MXNAME","MatchApellido2NYSIIS_MXNAME","MatchApellido2RVSNDX_MXNAME","UnhandledPattern_MXNAME","UnhandledData_MXNAME","InputPattern_MXNAME","ExceptionData_MXNAME","UserOverrideFlag_MXNAME","ADDRESS_LINE","TipoDireccion_MXADDR","PrefijoTipoCalle_MXADDR","TipoCalle_MXADDR","Calle_MXADDR","Kilometro_MXADDR","Exterior_MXADDR","SufijoExterior_MXADDR","Interior_MXADDR","SufijoInterior_MXADDR","CalleInterseccion1_MXADDR","CalleInterseccion2_MXADDR","TipoEdificacion_MXADDR","ValorEdificacion_MXADDR","TipoPiso_MXADDR","ValorPiso_MXADDR","TipoUnidad_MXADDR","ValorUnidad_MXADDR","Grupo_MXADDR","Modulo_MXADDR","Manzana_MXADDR","Lote_MXADDR","Casa_MXADDR","Asentamiento_MXADDR","TipoApartado_MXADDR","ApartadoPostal_MXADDR","DireccionAdicional_MXADDR","MatchNombreCalle_MXADDR","MatchNombreCalleHashKey_MXADDR","MatchNombreCallePackKey_MXADDR","NumdeMatchPalabrasCalle_MXADDR","MatchPalabraCalle1_MXADDR","MatchPalabraCalle2_MXADDR","MatchPalabraCalle3_MXADDR","MatchPalabraCalle4_MXADDR","MatchPalabraCalle5_MXADDR","MatchPalabraCalle1NYSIIS_MXADDR","MatchPalabraCalle1RVSNDX_MXADDR","MatchPalabraCalle1SNDX_MXADDR","MatchPalabraCalle2NYSIIS_MXADDR","MatchPalabraCalle2RVSNDX_MXADDR","MatchPalabraCalle2SNDX_MXADDR","UnhandledPattern_MXADDR","UnhandledData_MXADDR","InputPattern_MXADDR","ExceptionData_MXADDR","UserOverrideFlag_MXADDR","CITY","STATE","CodigoPostal_MXAREA","NombreLocalidad_MXAREA","NombreEstado_MXAREA","CodigoPais_MXAREA","NombreLocalidadNYSIIS_MXAREA","NombreLocalidadRVSNDX_MXAREA","NombreLocalidadSNDX_MXAREA","NombreEstadoNYSIIS_MXAREA","NombreEstadoRVSNDX_MXAREA","NombreEstadoSNDX_MXAREA","UnhandledPattern_MXAREA","UnhandledData_MXAREA","InputPattern_MXAREA","ExceptionData_MXAREA","UserOverrideFlag_MXAREA","PHONE_STD","CUST_ID","ZIP_STD","qsMatchType","qsMatchDataID"
"Roberto  Diaz Martinez","I","M","NULL","ROBERTO","NULL","DIAZ MARTINEZ","NULL","NULL","ROBERTO","RABART","O361","DIAZ MARTINEZ","DIMA","DIAZMARTINEZ","2","DIAZ","MARTINEZ","NULL","NULL","NULL","D","Z300","MARTAN","Z536","NULL","NULL","F++","NULL","NO","Circuito Interior 500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","0000","0000","NULL","0000","0000","T","CIRCUITO","TN^","NULL","NO","Ciudad de Mexico","CDMX","NULL","MEXICO DF","MEXICO DF","MX","MAXACADF","F322","M223","MAXACADF","F322","M223","+","CDMX","WWP+","NULL","NO","5588990011","1008","06700","RA","8"
"Carlos Alberto Sanchez","I","M","NULL","CARLOS","ALBERTO","SANCHEZ","NULL","NULL","CARLOS","CARL","S462","SANCHEZ","SA","SANCHEZ","1","SANCHEZ","NULL","NULL","NULL","NULL","SANC","Z252","NULL","0000","NULL","NULL","FF+","NULL","NO","Blvd. Miguel Hidalgo 890","S","NULL","BLVD","MIGUEL HIDALGO","NULL","890","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","MIGUEL HIDALGO","MIHI","MIGUELHIDALGO","2","MIGUEL","HIDALGO","NULL","NULL","NULL","MAGAL","L250","M240","HADALG","O243","H342","NULL","NULL","T.++^","NULL","NO","Monterrey","NL","NULL","MONTERREY","NUEVO LEON","MX","MANTARY","Y635","M536","NAFALAN","N415","N145","NULL","NULL","+D","NULL","NO","8122334455","1005","64000","RA","5"
"Fernando Ortiz","I","M","NULL","FERNANDO","NULL","ORTIZ","NULL","NULL","FERNANDO","FARNAND","O355","ORTIZ","OR","ORTIZ","1","ORTIZ","NULL","NULL","NULL","NULL","ORT","Z360","NULL","0000","NULL","NULL","F+","NULL","NO","Calle 5 de Mayo 88","S","NULL","CALLE","5 DE MAYO","NULL","88","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5 MAYO","5 MA","5MAYO","2","5","MAYO","NULL","NULL","NULL","5","5000","5000","M","O500","M000","NULL","NULL","T^++^","NULL","NO","Puebla","PUE","NULL","PUEBLA","PUEBLA","MX","PABL","A411","P140","PABL","A411","P140","NULL","NULL","DD","NULL","NO","2223334455","1013","72100","RA","13"
"Juan Perez Gomez","I","M","NULL","JUAN","NULL","PEREZ GOMEZ","NULL","NULL","JUAN","JAN","N200","PEREZ GOMEZ","PEGO","PEREZGOMEZ","2","PEREZ","GOMEZ","NULL","NULL","NULL","PAR","Z610","GAN","Z520","NULL","NULL","F++","NULL","NO","Av. Insurgentes Sur 123","S","NULL","AV","INSURGENTES SUR","NULL","123","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INSURGENTES SUR","INSU","INSURGENTESSUR","2","INSURGENTES","SUR","NULL","NULL","NULL","INSARGAN","S352","I526","SAR","R200","S600","NULL","NULL","T.++^","NULL","NO","Ciudad de Mexico","CDMX","NULL","MEXICO DF","MEXICO DF","MX","MAXACADF","F322","M223","MAXACADF","F322","M223","+","CDMX","WWP+","NULL","NO","5512345678","1001","03100","MP","1"
"Ana Torres","I","F","NULL","ANA","NULL","TORRES","NULL","NULL","ANA","AN","A500","TORRES","TO","TORRES","1","TORRES","NULL","NULL","NULL","NULL","TAR","S630","NULL","0000","NULL","NULL","F+","NULL","NO","Priv. de las Flores 12","S","NULL","PRIV","DE LAS FLORES","NULL","12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","FLORES","FL","FLORES","1","FLORES","NULL","NULL","NULL","NULL","FLAR","S641","F462","NULL","0000","0000","NULL","NULL","T.+++^","NULL","NO","Puebla","PUE","NULL","PUEBLA","PUEBLA","MX","PABL","A411","P140","PABL","A411","P140","NULL","NULL","DD","NULL","NO","2221112233","1006","72000","MP","6"
"Sofia Castillo","I","F","NULL","SOFIA","NULL","CASTILLO","NULL","NULL","SOFIA","SAF","A120","CASTILLO","CA","CASTILLO","1","CASTILLO","NULL","NULL","NULL","NULL","CASAL","O432","NULL","0000","NULL","NULL","F+","NULL","NO","Av. Revolucion 1500","S","NULL","AV","REVOLUCION","NULL","1500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","REVOLUCION","RE","REVOLUCION","1","REVOLUCION","NULL","NULL","NULL","NULL","RAFALACA","N241","R142","NULL","0000","0000","NULL","NULL","T.+^","NULL","NO","Tijuana","BC","NULL","TIJUANA","BAJA CALIFORNIA","MX","TAJAN","A523","T250","BAJACALA","A561","B224","NULL","NULL","+D","NULL","NO","6647778899","1014","22000","MP","14"
"Patricia Ramirez Cruz","I","F","NULL","PATRICIA","NULL","RAMIREZ CRUZ","NULL","NULL","PATRICIA","PATRAC","A263","RAMIREZ CRUZ","RACR","RAMIREZCRUZ","2","RAMIREZ","CRUZ","NULL","NULL","NULL","RANAR","Z656","CR","Z620","NULL","NULL","F++","NULL","NO","Av. Chapultepec 300","S","NULL","AV","CHAPULTEPEC","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","CHAPULTEPEC","CH","CHAPULTEPEC","1","CHAPULTEPEC","NULL","NULL","NULL","NULL","CAPALTAP","C134","C143","NULL","0000","0000","NULL","NULL","T.+^","NULL","NO","Ciudad de Mexico","CDMX","NULL","MEXICO DF","MEXICO DF","MX","MAXACADF","F322","M223","MAXACADF","F322","M223","+","CDMX","WWP+","NULL","NO","NULL","1012","06140","RA","12"
"Laura Gonzalez","I","F","NULL","LAURA","NULL","GONZALEZ","NULL","NULL","LAURA","LAR","A640","GONZALEZ","GO","GONZALEZ","1","GONZALEZ","NULL","NULL","NULL","NULL","GANSAL","Z425","NULL","0000","NULL","NULL","F+","NULL","NO","Av. Universidad 210","S","NULL","AV","UNIVERSIDAD","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","UNIVERSIDAD","UN","UNIVERSIDAD","1","UNIVERSIDAD","NULL","NULL","NULL","NULL","UNAVARSA","D326","U516","NULL","0000","0000","NULL","NULL","T.+^","NULL","NO","Toluca","MEX","NULL","TOLUCA","NULL","MX","TALAC","A243","T420","NULL","0000","0000","NULL","NULL","+P","NULL","NO","NULL","1009","50000","RA","9"
"Maria Fernanda Lopez","I","F","NULL","MARIA","FERNANDA","LOPEZ","NULL","NULL","MARIA","MAR","A650","LOPEZ","LO","LOPEZ","1","LOPEZ","NULL","NULL","NULL","NULL","LAP","Z140","NULL","0000","NULL","NULL","FF+","NULL","NO","Calle Reforma 45 Col. Centro","S","NULL","CALLE","REFORMA","NULL","45","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","COL CENTRO","NULL","NULL","NULL","REFORMA","RE","REFORMA","1","REFORMA","NULL","NULL","NULL","NULL","RAFARN","A561","R165","NULL","0000","0000","NULL","NULL","T+^B.B","NULL","NO","Guadalajara","JAL","NULL","GUADALAJARA","JALISCO","MX","GADALAJA","A624","G342","JALASC","O242","J420","NULL","NULL","+D","NULL","NO","3398765432","1003","44100","MP","3"
"Jose Luis Hernandez","I","M","NULL","JOSE","LUIS","HERNANDEZ","NULL","NULL","JOSE","JAS","E220","HERNANDEZ","HE","HERNANDEZ","1","HERNANDEZ","NULL","NULL","NULL","NULL","HARNAND","Z355","NULL","0000","NULL","NULL","FF+","NULL","NO","Calz. Independencia 77","S","NULL","CALZ","INDEPENDENCIA","NULL","77","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","INDEPENDENCIA","IN","INDEPENDENCIA","1","INDEPENDENCIA","NULL","NULL","NULL","NULL","INDAPAND","A253","I531","NULL","0000","0000","NULL","NULL","T.+^","NULL","NO","Leon","GTO","NULL","LEON","GUANAJUATO","MX","LAN","N400","L500","GANAJAT","O325","G523","NULL","NULL","WD","NULL","NO","4775556677","1010","37000","MP","10"
