"qsFreqValue","qsFreqCounts","qsFreqColumnID","qsFreqHeaderFlag"
"_qsC_MatchPrimerNombre_MXNAME_ERP","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","1","0"
"ANA","0000000001 0000000000 0000000000 ","1","1"
"ANDREA","0000000001 0000000000 0000000000 ","1","1"
"CARLOS","0000000001 0000000000 0000000000 ","1","1"
"DIEGO","0000000001 0000000000 0000000000 ","1","1"
"JOSE","0000000001 0000000000 0000000000 ","1","1"
"JUAN","0000000001 0000000000 0000000000 ","1","1"
"MARIA","0000000001 0000000000 0000000000 ","1","1"
"ROBERTO","0000000001 0000000000 0000000000 ","1","1"
"_qsN_MatchPrimerNombre_MXNAME_ERP","0000000000 0000000000 0000000000 0000000001 0000000000 0000000000 0000000008 ","2","0"
"0.0e+000","0000000008 0000000000 0000000000 ","2","1"
"_qsM_MatchPrimerNombre_MXNAME_ERP","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","4","0"
"ANA","0000000001 0000000000 0000000000 ","4","1"
"ANDREA","0000000001 0000000000 0000000000 ","4","1"
"CARLOS","0000000001 0000000000 0000000000 ","4","1"
"DIEGO","0000000001 0000000000 0000000000 ","4","1"
"JOSE","0000000001 0000000000 0000000000 ","4","1"
"JUAN","0000000001 0000000000 0000000000 ","4","1"
"MARIA","0000000001 0000000000 0000000000 ","4","1"
"ROBERTO","0000000001 0000000000 0000000000 ","4","1"
"_qsC_MatchApellido_MXNAME_ERP","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","5","0"
"DIAZ MARTINEZ","0000000001 0000000000 0000000000 ","5","1"
"HERNANDEZ PAZ","0000000001 0000000000 0000000000 ","5","1"
"LOPEZ RUIZ","0000000001 0000000000 0000000000 ","5","1"
"MENDOZA","0000000001 0000000000 0000000000 ","5","1"
"PEREZ GOMEZ","0000000001 0000000000 0000000000 ","5","1"
"RAMIREZ","0000000001 0000000000 0000000000 ","5","1"
"SANCHEZ","0000000001 0000000000 0000000000 ","5","1"
"TORRES VILLEGAS","0000000001 0000000000 0000000000 ","5","1"
"_qsN_MatchApellido_MXNAME_ERP","0000000000 0000000000 0000000000 0000000001 0000000000 0000000000 0000000008 ","6","0"
"0.0e+000","0000000008 0000000000 0000000000 ","6","1"
"_qsM_MatchApellido_MXNAME_ERP","0000000000 0000000000 0000000000 0000000013 0000000000 0000000000 0000000013 ","8","0"
"DIAZ","0000000001 0000000000 0000000000 ","8","1"
"GOMEZ","0000000001 0000000000 0000000000 ","8","1"
"HERNANDEZ","0000000001 0000000000 0000000000 ","8","1"
"LOPEZ","0000000001 0000000000 0000000000 ","8","1"
"MARTINEZ","0000000001 0000000000 0000000000 ","8","1"
"MENDOZA","0000000001 0000000000 0000000000 ","8","1"
"PAZ","0000000001 0000000000 0000000000 ","8","1"
"PEREZ","0000000001 0000000000 0000000000 ","8","1"
"RAMIREZ","0000000001 0000000000 0000000000 ","8","1"
"RUIZ","0000000001 0000000000 0000000000 ","8","1"
"SANCHEZ","0000000001 0000000000 0000000000 ","8","1"
"TORRES","0000000001 0000000000 0000000000 ","8","1"
"VILLEGAS","0000000001 0000000000 0000000000 ","8","1"
"_qsC_MatchNombreCalle_MXADDR_ERP","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","9","0"
"FLORES","0000000001 0000000000 0000000000 ","9","1"
"INDEPENDENCIA","0000000001 0000000000 0000000000 ","9","1"
"INSURGENTES SUR","0000000001 0000000000 0000000000 ","9","1"
"JUAREZ","0000000001 0000000000 0000000000 ","9","1"
"MIGUEL HIDALGO","0000000001 0000000000 0000000000 ","9","1"
"NULL","0000000001 0000000000 0000000000 ","9","1"
"REFORMA","0000000001 0000000000 0000000000 ","9","1"
"TECNOLOGICO","0000000001 0000000000 0000000000 ","9","1"
"_qsN_MatchNombreCalle_MXADDR_ERP","0000000000 0000000000 0000000000 0000000001 0000000000 0000000000 0000000008 ","10","0"
"0.0e+000","0000000008 0000000000 0000000000 ","10","1"
"_qsM_MatchNombreCalle_MXADDR_ERP","0000000000 0000000000 0000000000 0000000010 0000000000 0000000000 0000000010 ","12","0"
"FLORES","0000000001 0000000000 0000000000 ","12","1"
"HIDALGO","0000000001 0000000000 0000000000 ","12","1"
"INDEPENDENCIA","0000000001 0000000000 0000000000 ","12","1"
"INSURGENTES","0000000001 0000000000 0000000000 ","12","1"
"JUAREZ","0000000001 0000000000 0000000000 ","12","1"
"MIGUEL","0000000001 0000000000 0000000000 ","12","1"
"NULL","0000000001 0000000000 0000000000 ","12","1"
"REFORMA","0000000001 0000000000 0000000000 ","12","1"
"SUR","0000000001 0000000000 0000000000 ","12","1"
"TECNOLOGICO","0000000001 0000000000 0000000000 ","12","1"
"_qsC_TELEPHONE_STD","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","13","0"
"2221112233","0000000001 0000000000 0000000000 ","13","1"
"3398765432","0000000001 0000000000 0000000000 ","13","1"
"4421234567","0000000001 0000000000 0000000000 ","13","1"
"4775556677","0000000001 0000000000 0000000000 ","13","1"
"5512345678","0000000001 0000000000 0000000000 ","13","1"
"5588990011","0000000001 0000000000 0000000000 ","13","1"
"8122334455","0000000001 0000000000 0000000000 ","13","1"
"9992223344","0000000001 0000000000 0000000000 ","13","1"
"_qsN_TELEPHONE_STD","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","14","0"
"2221112233","0000000001 0000000000 0000000000 ","14","1"
"3398765432","0000000001 0000000000 0000000000 ","14","1"
"4421234567","0000000001 0000000000 0000000000 ","14","1"
"4775556677","0000000001 0000000000 0000000000 ","14","1"
"5512345678","0000000001 0000000000 0000000000 ","14","1"
"5588990011","0000000001 0000000000 0000000000 ","14","1"
"8122334455","0000000001 0000000000 0000000000 ","14","1"
"9992223344","0000000001 0000000000 0000000000 ","14","1"
"_qsM_TELEPHONE_STD","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","16","0"
"2221112233","0000000001 0000000000 0000000000 ","16","1"
"3398765432","0000000001 0000000000 0000000000 ","16","1"
"4421234567","0000000001 0000000000 0000000000 ","16","1"
"4775556677","0000000001 0000000000 0000000000 ","16","1"
"5512345678","0000000001 0000000000 0000000000 ","16","1"
"5588990011","0000000001 0000000000 0000000000 ","16","1"
"8122334455","0000000001 0000000000 0000000000 ","16","1"
"9992223344","0000000001 0000000000 0000000000 ","16","1"
"_qsC_ZIP_STD","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","17","0"
"03100","0000000001 0000000000 0000000000 ","17","1"
"06700","0000000001 0000000000 0000000000 ","17","1"
"37000","0000000001 0000000000 0000000000 ","17","1"
"44100","0000000001 0000000000 0000000000 ","17","1"
"64000","0000000001 0000000000 0000000000 ","17","1"
"72000","0000000001 0000000000 0000000000 ","17","1"
"76000","0000000001 0000000000 0000000000 ","17","1"
"97000","0000000001 0000000000 0000000000 ","17","1"
"_qsN_ZIP_STD","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","18","0"
"3100","0000000001 0000000000 0000000000 ","18","1"
"37000","0000000001 0000000000 0000000000 ","18","1"
"44100","0000000001 0000000000 0000000000 ","18","1"
"64000","0000000001 0000000000 0000000000 ","18","1"
"6700","0000000001 0000000000 0000000000 ","18","1"
"72000","0000000001 0000000000 0000000000 ","18","1"
"76000","0000000001 0000000000 0000000000 ","18","1"
"97000","0000000001 0000000000 0000000000 ","18","1"
"_qsM_ZIP_STD","0000000000 0000000000 0000000000 0000000008 0000000000 0000000000 0000000008 ","20","0"
"03100","0000000001 0000000000 0000000000 ","20","1"
"06700","0000000001 0000000000 0000000000 ","20","1"
"37000","0000000001 0000000000 0000000000 ","20","1"
"44100","0000000001 0000000000 0000000000 ","20","1"
"64000","0000000001 0000000000 0000000000 ","20","1"
"72000","0000000001 0000000000 0000000000 ","20","1"
"76000","0000000001 0000000000 0000000000 ","20","1"
"97000","0000000001 0000000000 0000000000 ","20","1"
